listing_id,host_since,host_is_superhost,host_total_listings_count,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,availability_365,number_of_reviews,review_scores_rating,instant_bookable,reviews_per_month,host_tenure_days,occupancy,reviews_last_year,city,log_price
1236019725844509440,2024-08-12,1,1.0,Nrrebro,55.69789392619173,12.539321903704822,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,751.0,2,3,11,5.0,f,0.89,142.0,0.9917808219178084,10.0,copenhagen,6.621405651764134
346877,2011-08-15,0,1.0,Indre By,55.68695068359375,12.580875396728516,Entire condo,Entire home/apt,4,0.0,0.0,1.0,1620.0,6,245,8,4.63,f,0.05,4888.0,0.3287671232876712,1.0,copenhagen,7.390181428226429
1139938271711185125,2015-10-16,0,1.0,Frederiksberg,55.68879,12.534,Entire condo,Entire home/apt,4,,1.0,,,3,5,7,4.86,f,0.47,3365.0,0.9863013698630136,3.0,copenhagen,
652709775003931118,2015-07-19,1,1.0,Bispebjerg,55.70533569777921,12.52539267301634,Entire condo,Entire home/apt,2,1.0,1.0,1.0,708.0,2,196,42,4.83,f,1.39,3454.0,0.4630136986301369,17.0,copenhagen,6.56244409369372
1047607183348454742,2022-12-12,0,2.0,Nrrebro,55.6878285229473,12.54327166825533,Entire rental unit,Entire home/apt,3,,1.0,,,2,0,2,5.0,f,0.1,751.0,1.0,0.0,copenhagen,
1108552149547164842,2024-03-09,0,1.0,Vesterbro-Kongens Enghave,55.6698096,12.5584648,Entire rental unit,Entire home/apt,4,,2.0,,,5,0,2,4.0,f,0.12,298.0,1.0,0.0,copenhagen,
1208464651112378381,2019-02-10,0,1.0,Valby,55.6613559,12.5197478,Entire rental unit,Entire home/apt,2,,1.0,,,3,0,4,5.0,f,0.29,2152.0,1.0,0.0,copenhagen,
643301744258238586,2016-02-05,0,1.0,sterbro,55.70595,12.56413,Entire condo,Entire home/apt,2,,1.0,,,4,0,16,4.94,f,0.42,3253.0,1.0,10.0,copenhagen,
25247163,2014-06-22,0,1.0,Indre By,55.68285,12.57654,Entire rental unit,Entire home/apt,4,1.0,2.0,2.0,2031.0,1,255,34,4.94,f,0.39,3846.0,0.3013698630136986,12.0,copenhagen,7.616283561580385
1462471560999600740,2013-03-30,0,2.0,Amager Vest,55.66087,12.56967,Entire rental unit,Entire home/apt,3,1.0,1.0,1.0,1179.0,5,72,3,5.0,f,3.0,4295.0,0.8027397260273973,3.0,copenhagen,7.072421900537371
34008224,2014-10-16,0,1.0,Vesterbro-Kongens Enghave,55.66825,12.54877,Entire condo,Entire home/apt,2,,1.0,,,3,0,6,5.0,f,0.08,3730.0,1.0,0.0,copenhagen,
801894730324060926,2021-05-10,0,2.0,sterbro,55.7286496,12.5714628,Entire home,Entire home/apt,3,1.0,2.0,3.0,1800.0,3,363,12,5.0,f,0.41,1332.0,0.0054794520547944,3.0,copenhagen,7.495541943884256
949939685633483211,2020-06-08,0,1.0,Frederiksberg,55.68629,12.52992,Entire rental unit,Entire home/apt,2,,1.0,,,2,0,2,5.0,f,0.13,1668.0,1.0,0.0,copenhagen,
4506165,2012-09-15,0,1.0,Nrrebro,55.68613,12.56061,Entire rental unit,Entire home/apt,4,,2.0,,,4,0,35,4.89,f,0.27,4491.0,1.0,0.0,copenhagen,
26544461,2015-02-16,0,1.0,Amager Vest,55.66361,12.58381,Entire rental unit,Entire home/apt,3,1.0,2.0,3.0,1200.0,5,27,21,4.95,f,0.24,3607.0,0.926027397260274,3.0,copenhagen,7.090076835776092
39264855,2017-07-26,0,1.0,Vesterbro-Kongens Enghave,55.6700204,12.5458599,Entire condo,Entire home/apt,2,1.0,1.0,1.0,1029.0,3,168,10,4.8,f,0.69,2716.0,0.5397260273972603,7.0,copenhagen,6.9363427358340495
1427718294521296502,2020-01-01,0,1.0,Bispebjerg,55.70751085172424,12.541748645052044,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,405.0,1,74,1,5.0,f,1.0,1827.0,0.7972602739726027,1.0,copenhagen,6.003887067106539
1136036695517140126,2015-09-08,1,1.0,Nrrebro,55.6929211,12.5469847,Entire condo,Entire home/apt,2,1.0,1.0,1.0,2000.0,2,60,24,4.96,f,1.4,3403.0,0.8356164383561644,4.0,copenhagen,7.600902459542082
1285470206343358439,2024-11-08,0,1.0,Indre By,55.67155615499073,12.596509074868765,Entire rental unit,Entire home/apt,8,1.0,4.0,7.0,3600.0,2,175,11,5.0,f,2.7,54.0,0.5205479452054795,11.0,copenhagen,8.1886891244442
901856942747067774,2019-10-03,0,1.0,Vesterbro-Kongens Enghave,55.667232062018826,12.548336014151571,Entire rental unit,Entire home/apt,2,,1.0,,,3,0,3,4.67,f,0.11,1917.0,1.0,0.0,copenhagen,
637498931636385755,2022-05-29,0,1.0,sterbro,55.70383,12.57624,Entire rental unit,Entire home/apt,4,1.0,2.0,2.0,1419.0,5,116,7,5.0,f,0.18,948.0,0.6821917808219178,0.0,copenhagen,7.257707677160043
1136001632356640195,2015-04-18,0,1.0,Amager Vest,55.61854075414367,12.570650770266733,Entire condo,Entire home/apt,3,1.0,1.0,1.0,1178.0,1,360,11,4.64,f,0.68,3546.0,0.0136986301369863,6.0,copenhagen,7.071573364211532
1047260840373206213,2016-07-03,0,3.0,Indre By,55.67004966018764,12.587894909083843,Entire rental unit,Entire home/apt,2,1.0,1.0,0.0,1615.0,2,76,26,4.65,f,1.22,3104.0,0.7917808219178082,7.0,copenhagen,7.387090235656757
46375181,2019-03-12,1,4.0,Bispebjerg,55.71175,12.51281,Private room in guest suite,Private room,5,0.0,0.0,2.0,464.0,1,331,62,4.76,f,1.06,2122.0,0.0931506849315068,45.0,copenhagen,6.139884552226255
563510531320635456,2019-03-07,0,16.0,Nrrebro,55.68676,12.55978,Entire rental unit,Entire home/apt,3,1.0,2.0,2.0,1000.0,3,199,131,4.53,t,3.19,2127.0,0.4547945205479452,42.0,copenhagen,6.907755278982137
5898305,2015-04-05,0,2.0,Frederiksberg,55.67793,12.51702,Entire home,Entire home/apt,6,,3.0,,,7,0,12,4.92,f,0.11,3559.0,1.0,0.0,copenhagen,
889001001439872750,2014-10-25,1,1.0,Frederiksberg,55.68230759999999,12.5340191,Entire rental unit,Entire home/apt,2,,1.0,,,3,0,12,5.0,f,0.88,3721.0,1.0,9.0,copenhagen,
1451312370186282180,2015-04-23,0,1.0,Indre By,55.67204,12.5894,Entire rental unit,Entire home/apt,2,,1.0,,,2,0,3,5.0,f,1.36,3541.0,1.0,3.0,copenhagen,
1130450062824926392,2018-05-23,0,5.0,Indre By,55.694686587626265,12.579051168611432,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,1300.0,4,145,2,5.0,f,0.12,2415.0,0.6027397260273972,0.0,copenhagen,7.170119543449628
923944548351450200,2014-08-11,0,1.0,Frederiksberg,55.68504,12.53349,Entire rental unit,Entire home/apt,2,,1.0,,,4,0,3,5.0,f,0.23,3796.0,1.0,2.0,copenhagen,
1150603840904514310,2023-10-18,0,260.0,Nrrebro,55.70033,12.55277,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,1714.0,2,2,2,4.5,t,0.13,441.0,0.9945205479452056,1.0,copenhagen,7.446585099157725
34087027,2016-03-14,0,1.0,Vesterbro-Kongens Enghave,55.66873,12.53549,Entire condo,Entire home/apt,2,1.0,1.0,1.0,1541.0,1,51,7,5.0,f,0.09,3215.0,0.8602739726027397,5.0,copenhagen,7.340186835320115
